id	filename	md5	size	state
aa8d2b4c-1511-438f-979d-fd31abf5e5d8	jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-AAMQ-01A-11D-A42F-05.gdc_hg38.txt	136889f3a0ad101caef66ae490629ff5	141252914	live
0a557134-6d90-403a-83f9-f481a42c5391	jhu-usc.edu_HNSC.HumanMethylation450.10.lvl-3.TCGA-H7-8502-01A-11D-2398-05.gdc_hg38.txt	21258726d57e765265d19867af211e25	141290127	live
058e4b60-1b98-4243-8e64-8bc375094d85	jhu-usc.edu_THCA.HumanMethylation450.14.lvl-3.TCGA-FY-A40K-01A-11D-A23O-05.gdc_hg38.txt	15ca92e09dab95a6ab8c0326e06b2729	141299101	live
d1fd8e2c-bf4b-495f-bcdb-d93a598d5cbc	jhu-usc.edu_UCEC.HumanMethylation450.2.lvl-3.TCGA-D1-A102-01A-11D-A10N-05.gdc_hg38.txt	3195994d8cc8ff0e3fa7a5807976f9e6	141299116	live
18c0e1b4-5f97-4de4-bbbe-b7f7d5afc545	jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-GU-AATQ-01A-11D-A392-05.gdc_hg38.txt	4a0a4af6e11b2f935a6b5d38fdcab97c	141308356	live
ed12fcbb-1c8f-464b-96c8-ce5448147936	jhu-usc.edu_THCA.HumanMethylation450.14.lvl-3.TCGA-ET-A2N3-01B-21D-A23O-05.gdc_hg38.txt	1b52ff1de7448ed1eef34416f89e93dd	141290933	live
c3786477-4b58-4607-9b9a-efa32c82d010	jhu-usc.edu_THCA.HumanMethylation450.9.lvl-3.TCGA-EL-A3H2-11A-11D-A211-05.gdc_hg38.txt	a4787bc8319820b949bd7a80b7bfa423	141301104	live
4c33b6d7-9c39-4eda-84cf-080b716fd03e	jhu-usc.edu_HNSC.HumanMethylation450.15.lvl-3.TCGA-IQ-A61J-01A-11D-A30F-05.gdc_hg38.txt	6083501bf40ce1d4ae5f0d74ee8a3887	141292340	live
318f6ffb-1fdf-4f74-90db-21e337503aae	jhu-usc.edu_KIRC.HumanMethylation450.4.lvl-3.TCGA-B0-4810-11A-02D-1500-05.gdc_hg38.txt	7a9bdeb9bc9ff52115f22c66079189a5	141308699	live
8c48f4ec-2ca0-469a-a72b-0b1a200fa906	jhu-usc.edu_KIRC.HumanMethylation450.3.lvl-3.TCGA-CJ-4902-11A-01D-1424-05.gdc_hg38.txt	03fd1ac7e801997160b441666a5f62db	141304724	live
dadb1e9e-5c9b-43a8-8073-a8440836d8ee	jhu-usc.edu_PRAD.HumanMethylation450.15.lvl-3.TCGA-VP-A87B-01A-11D-A34V-05.gdc_hg38.txt	634637ed99e51390575917b211ca172a	141293378	live
