1	1	0	0	0	0	0	19	58345178	58353499	0
2	0	0	0	0	0	0	10	50799409	50885675	0
3	0	0	0	0	0	0	12	9067664	9116229	0
4	0	0	0	0	0	0	12	8822472	8887001	1
5	0	0	0	0	0	0	1	33306766	33321098	0
6	0	0	0	0	0	0	22	42692121	42721298	0
7	0	0	0	0	0	0	3	138123718	138132387	0
8	1	0	0	0	0	0	12	53307456	53324864	0
9	1	0	0	0	0	0	12	125065379	125143333	1
10	0	0	0	0	0	0	3	151814037	151828488	1
11	0	0	0	0	0	0	3	151733916	151761339	1
12	0	0	0	0	0	0	1	12716115	12728759	1
13	0	0	0	0	0	0	1	12644547	12667086	1
14	0	0	0	0	0	0	4	170060222	170091699	0
15	1	0	0	0	0	0	9	96639577	96655303	0
16	0	0	0	0	0	0	15	67201033	67255195	0
17	1	0	0	0	0	0	2	69457997	69674349	0
18	1	0	0	0	0	0	11	77821109	77918432	1
19	1	0	0	0	0	0	2	218264123	218270257	0
20	1	0	0	0	0	0	17	76453351	76470117	1
21	1	0	0	0	0	0	20	36236459	36270918	1
22	0	0	0	0	0	0	8	116938199	116944487	1
23	1	0	0	0	0	0	16	70252295	70289543	0
24	1	0	0	0	0	0	6	44299654	44313326	0
25	1	0	0	0	0	0	17	42950526	42964498	0
26	1	0	0	0	0	0	4	56338287	56387508	0
27	1	0	0	0	0	0	11	106075501	106098710	1
28	1	0	0	0	0	0	7	122075647	122144280	0
29	0	1	0	0	0	0	17	36948875	37056871	1
30	1	0	0	0	0	0	17	81117295	81166077	0
31	1	0	0	0	0	0	16	8674565	8784575	1
32	1	0	0	0	0	0	9	104781002	104928237	0
33	1	0	0	0	0	0	9	137007227	137028922	0
34	1	0	0	0	0	0	16	2275881	2340746	0
35	0	1	0	0	0	0	1	93992835	94121132	0
36	1	0	0	0	0	0	17	69244311	69327244	0
37	0	0	0	0	0	0	17	69078702	69141888	0
38	1	0	0	0	0	0	19	1040101	1065572	1
39	0	0	0	0	0	0	17	68867292	68955392	0
40	0	0	0	0	0	0	17	68974488	69061064	0
41	0	0	0	0	0	0	17	69147214	69244846	0
42	0	0	0	0	0	0	2	214931542	215138428	0
43	0	0	0	0	0	0	7	48171458	48647496	1
44	0	0	0	0	0	0	7	87503633	87713323	0
45	1	0	0	0	0	0	7	87401697	87480435	0
46	0	0	0	0	0	0	7	20615207	20777038	1
47	0	0	0	0	0	0	2	219209768	219218990	0
48	0	0	0	0	0	0	23	75053172	75156732	0
49	1	0	0	0	0	0	7	151028422	151047782	1
50	1	0	0	0	0	0	12	122920951	122981649	0
51	1	0	0	0	0	0	1	229516582	229558695	0
52	0	0	0	0	0	0	2	168922938	169031322	0
53	0	0	0	0	0	0	16	15949577	16143074	1
54	0	0	0	0	0	0	10	99782732	99852192	1
55	1	0	0	0	0	0	17	50634777	50692252	1
56	1	0	0	0	0	0	13	95019829	95301446	0
57	1	0	0	0	0	0	3	183919934	184018015	0
58	0	0	0	0	0	0	16	16148928	16223522	0
59	1	0	0	0	0	0	11	17392885	17476845	0
60	1	0	0	0	0	0	12	21797401	21941402	0
61	1	0	0	0	0	0	6	43427366	43450430	1
62	0	0	0	0	0	0	16	48166910	48247568	0
63	0	0	0	0	0	0	16	48082973	48156018	0
64	1	0	0	0	0	0	23	153724868	153744762	1
65	0	0	0	0	0	0	12	39550033	39619751	0
66	1	0	0	0	0	0	1	94418455	94518666	1
67	1	0	0	0	0	0	14	74285423	74303056	0
68	0	0	0	0	0	0	4	145097932	145129179	1
69	0	0	0	0	0	0	6	30571376	30597179	1
70	1	0	0	0	0	0	7	151207837	151227230	0
71	1	0	0	0	0	0	3	184186023	184194012	1
72	0	0	0	0	0	0	21	42199689	42297244	1
